model,problem_index,gsm8k_index,baseline_truth,high_scale_truth,delta,within_problem_auc
Llama-3-70B-Instruct,16,146,0.997,1.0,0.0030000000000000027,0.9999999999999999
Llama-3-70B-Instruct,17,151,0.8953749999999999,1.0,0.10462500000000008,0.9998742375652392
Llama-3-70B-Instruct,18,179,0.9998750000000001,1.0,0.00012499999999993072,0.9991248906113264
Llama-3-70B-Instruct,19,182,0.665875,1.0,0.334125,1.0
Llama-3-70B-Instruct,20,196,0.99075,0.9998738488709474,0.009123848870947415,0.9932432432432433
Llama-3-70B-Instruct,21,205,0.6936249999999999,1.0,0.30637500000000006,1.0
Llama-3-70B-Instruct,22,223,0.9997499999999999,1.0,0.0002500000000000835,0.999749937484371
Llama-3-70B-Instruct,23,228,0.99825,0.9997496244366549,0.0014996244366549671,0.9285714285714286
Llama-3-70B-Instruct,24,248,0.9997499999999999,1.0,0.0002500000000000835,0.9994998749687423
Llama-3-70B-Instruct,25,262,1.0,1.0,0.0,nan
Llama-3-70B-Instruct,26,263,0.999625,1.0,0.0003750000000000142,1.0
Llama-3-70B-Instruct,27,275,0.9985,1.0,0.0014999999999999458,1.0
Llama-3-70B-Instruct,28,284,0.987125,1.0,0.01287499999999997,1.0
Llama-3-70B-Instruct,29,288,0.996875,1.0,0.0031250000000000444,1.0
Llama-3-70B-Instruct,30,291,1.0,1.0,0.0,nan
Llama-3-70B-Instruct,31,292,0.976,1.0,0.02400000000000002,1.0
Llama-3-70B-Instruct,32,304,0.988625,1.0,0.011375000000000024,0.9975976735364775
Llama-3-70B-Instruct,33,308,0.9825,1.0,0.01749999999999996,0.9986055070883314
Llama-3-70B-Instruct,34,313,0.78925,1.0,0.21075,1.0
Llama-3-70B-Instruct,35,329,1.0,1.0,0.0,nan
Llama-3-70B-Instruct,36,331,0.963375,1.0,0.03662500000000002,0.9398840024427064
Llama-3-70B-Instruct,37,345,1.0,1.0,0.0,nan
Llama-3-70B-Instruct,38,354,0.999625,1.0,0.0003750000000000142,1.0
Llama-3-70B-Instruct,39,361,0.935875,1.0,0.06412499999999999,0.9998916901056047
Llama-3-70B-Instruct,40,364,0.989375,1.0,0.010624999999999996,1.0
Llama-3-70B-Instruct,41,365,0.999875,1.0,0.00012500000000004174,1.0
Llama-3-70B-Instruct,42,384,0.98175,1.0,0.01824999999999999,1.0
Llama-3-70B-Instruct,43,386,0.999625,1.0,0.0003750000000000142,1.0
Llama-3-70B-Instruct,44,392,0.9845,1.0,0.015499999999999958,1.0
Llama-3-70B-Instruct,45,401,0.992375,1.0,0.007624999999999993,0.9988756481284549
Llama-3-70B-Instruct,46,410,0.9884999999999999,1.0,0.011500000000000066,0.9998756075300742
Llama-3-70B-Instruct,47,429,0.998875,1.0,0.0011250000000000426,1.0
Llama-3-70B-Instruct,48,464,0.994375,1.0,0.005624999999999991,1.0
Llama-3-70B-Instruct,49,469,1.0,1.0,0.0,nan
Llama-3-70B-Instruct,50,471,0.730375,1.0,0.269625,1.0
Llama-3-70B-Instruct,51,481,0.999875,1.0,0.00012500000000004174,1.0
Llama-3-70B-Instruct,52,492,0.999875,1.0,0.00012500000000004174,1.0
Llama-3-70B-Instruct,53,503,0.987375,1.0,0.012624999999999997,1.0
Llama-3-70B-Instruct,54,525,0.99875,1.0,0.0012499999999999734,1.0
Llama-3-70B-Instruct,55,545,0.995875,1.0,0.004125000000000045,1.0
Llama-3-70B-Instruct,56,557,0.99875,1.0,0.0012499999999999734,1.0
Llama-3-70B-Instruct,57,564,0.35975,0.0,-0.35975,0.028699726669269787
Llama-3-70B-Instruct,58,580,0.64525,1.0,0.35475,1.0
Llama-3-70B-Instruct,59,582,0.973625,1.0,0.026375000000000037,0.9989729105148286
Llama-3-70B-Instruct,60,599,0.999625,1.0,0.0003750000000000142,1.0
Llama-3-70B-Instruct,61,634,1.0,1.0,0.0,nan
Llama-3-70B-Instruct,62,648,0.985875,1.0,0.014125000000000054,1.0
Llama-3-70B-Instruct,63,654,0.9950000000000001,0.9998743876397438,0.0048743876397436825,0.9875
Llama-3-70B-Instruct,64,661,0.999375,1.0,0.0006249999999999867,0.9960100062539087
Llama-3-70B-Instruct,65,662,0.9962500000000001,1.0,0.00374999999999992,0.9998745294855709
Llama-3-70B-Instruct,66,666,0.999125,1.0,0.0008749999999999591,0.9991421064860324
Llama-3-70B-Instruct,67,679,0.9875,1.0,0.012499999999999956,1.0
Llama-3-70B-Instruct,68,705,0.999625,1.0,0.0003750000000000142,1.0
Llama-3-70B-Instruct,69,723,1.0,1.0,0.0,nan
Llama-3-70B-Instruct,70,724,0.98225,1.0,0.017750000000000044,1.0
Llama-3-70B-Instruct,71,725,0.776625,1.0,0.223375,1.0
Llama-3-70B-Instruct,72,736,0.990125,1.0,0.009874999999999967,1.0
Llama-3-70B-Instruct,73,744,0.999875,1.0,0.00012500000000004174,1.0
Llama-3-70B-Instruct,74,752,0.7243750000000001,1.0,0.2756249999999999,0.9998275157057357
Llama-3-70B-Instruct,75,758,0.999625,1.0,0.0003750000000000142,0.9994372889833687
Llama-3-70B-Instruct,76,772,0.99725,1.0,0.00275000000000003,1.0
Llama-3-70B-Instruct,77,776,0.999625,1.0,0.0003750000000000142,0.993560085031887
Llama-3-70B-Instruct,78,791,0.9945,1.0,0.005499999999999949,1.0
Llama-3-70B-Instruct,79,796,0.0014999999999999996,0.0,-0.0014999999999999996,0.005257886830245417
Llama-3-70B-Instruct,80,805,0.99975,1.0,0.00024999999999997247,0.9998124531132784
Llama-3-70B-Instruct,81,812,0.566125,1.0,0.433875,1.0
Llama-3-70B-Instruct,82,816,1.0,1.0,0.0,nan
Llama-3-70B-Instruct,83,818,0.99925,1.0,0.0007500000000000284,1.0
Llama-3-70B-Instruct,84,836,0.9995,1.0,0.0004999999999999449,1.0
Llama-3-70B-Instruct,85,850,1.0,1.0,0.0,nan
Llama-3-70B-Instruct,86,852,0.99075,1.0,0.00924999999999998,1.0
Llama-3-70B-Instruct,87,859,0.992125,1.0,0.007874999999999965,0.9998740078115157
Llama-3-70B-Instruct,88,867,1.0,1.0,0.0,nan
